160	8	0
161	8	0
162	5	69;42;323
163	7	282;142;
164	7	306;151;
165	1	246;483;101
166	7	0
167	1	183;182;89
168	4	469;15;
169	10	0
170	9	432;354;230
171	10	277;71;29
172	4	437;369;80
173	1	206;9;328
174	1	0
175	10	0
176	5	340;169;182
177	9	0
178	8	321;279;182
179	7	110;414;
180	6	173;233;446
181	8	0
182	6	271;215;
183	2	88;60;
184	2	0
185	5	0
186	5	0
187	3	44;179;226
188	7	386;391;
189	8	0
190	4	0
191	6	364;430;
192	6	213;95;425
193	11	92;209;
194	9	0
195	9	194;56;
196	1	264;252;
197	2	454;230;143
198	6	323;4;72
199	10	459;133;
200	7	0
201	10	403;484;
202	5	260;211;
203	3	482;334;
204	5	310;116;396
205	3	485;364;164
206	5	0
207	3	295;144;
208	7	223;150;81
209	2	5;318;326
210	7	400;422;261
211	4	0
212	2	25;481;161
213	7	488;67;
214	8	347;321;238
215	2	119;168;
216	7	214;9;
217	11	150;227;333
218	11	381;254;404
219	1	0
220	4	0
221	11	422;146;112
222	2	472;301;
223	2	0
224	10	0
225	1	0
226	4	354;462;
227	5	0
228	4	0
229	1	0
230	8	0
231	9	318;291;
232	6	0
233	5	225;442;83
234	8	153;255;
235	7	0
236	5	3;120;215
237	5	115;480;281
238	10	0
239	10	0
240	5	16;355;
241	1	406;10;455
242	6	442;235;
243	11	258;385;
244	6	0
245	8	166;181;417
246	7	381;108;
247	3	0
248	11	206;146;342
249	6	372;457;
250	2	234;234;
251	11	0
252	5	214;387;235
253	2	132;429;
254	11	251;244;
255	8	0
256	4	454;1;232
257	11	0
258	10	0
259	4	471;414;426
260	1	376;307;413
261	6	159;410;
262	7	0
263	2	0
264	6	0
265	3	0
266	11	271;244;29
267	7	0
268	9	54;231;467
269	10	333;176;
270	7	396;352;
271	8	0
272	6	0
273	8	490;272;408
274	3	453;263;
275	7	0
276	5	0
277	6	0
278	3	158;134;494
279	6	374;277;
280	9	291;382;216
281	9	283;355;
282	7	255;301;
283	4	367;272;
284	6	3;139;
285	8	0
286	8	463;387;283
287	4	424;47;
288	11	371;285;
289	4	437;141;
290	2	0
291	10	359;436;
292	8	408;377;
293	2	149;48;370
294	5	0
295	10	95;149;
296	1	10;307;
297	3	341;317;261
298	5	82;475;
299	7	69;263;
300	3	0
301	7	0
302	9	173;229;
303	11	351;46;165
304	7	0
305	10	0
306	9	318;61;90
307	3	52;359;455
308	4	105;196;
309	2	0
310	10	338;178;191
311	4	0
312	5	0
313	6	0
314	7	149;130;372
315	5	257;139;
316	1	203;38;
317	1	238;6;449
318	3	217;85;484
319	3	497;472;
320	2	313;311;
321	10	0
322	4	162;272;
323	2	339;34;135
324	2	168;283;
325	10	311;246;
326	6	0
327	10	252;148;111
328	5	0
329	2	440;264;479
330	1	4;255;
331	5	252;493;
332	4	0
333	4	332;321;313
334	7	58;328;123
335	2	0
336	8	495;373;
337	4	114;134;155
338	5	0
339	10	353;211;
340	10	156;196;109
341	10	288;389;
342	2	60;366;488
343	4	0
344	4	0
345	8	130;336;
346	5	22;391;219
347	8	0
348	7	182;299;
349	3	140;97;108
350	7	134;446;256
351	8	120;399;
352	4	0
353	11	342;107;76
354	8	34;340;
355	9	356;144;
356	6	182;66;
357	8	21;86;70
358	7	287;488;
359	3	0
360	7	137;44;
361	1	264;255;
362	8	434;87;
363	3	74;332;
364	5	320;117;
365	8	32;283;
366	10	0
367	1	0
368	3	222;468;450
369	3	0
370	7	321;121;
371	3	0
372	2	90;297;419
373	6	99;286;
374	10	390;134;255
375	4	444;343;479
376	8	255;3;34
377	11	0
378	7	112;291;
379	5	0
380	5	34;449;
381	8	422;278;
382	3	259;346;
383	8	86;440;439
384	7	271;69;
385	1	0
386	11	74;479;365
387	8	352;383;
388	3	299;200;111
389	4	461;381;210
390	8	380;127;277
391	1	0
392	2	323;27;
393	1	361;466;199
394	1	0
395	11	340;438;
396	3	469;351;410
397	9	91;381;
398	2	270;428;226
399	4	473;64;57
400	4	0
401	11	0
402	2	0
403	6	0
404	5	212;122;233
405	11	466;58;
406	6	268;194;114
407	1	468;35;156
408	10	0
409	4	0
410	2	0
411	7	249;324;410
412	8	0
413	7	222;240;369
414	3	0
415	6	280;95;143
416	2	0
417	9	0
418	8	0
419	10	424;295;417
420	8	478;81;400
421	10	271;121;
422	3	186;477;208
423	6	176;72;180
424	11	0
425	5	0
426	11	153;222;17
427	10	0
428	1	0
429	10	0
430	6	58;403;
431	5	381;203;
432	3	417;107;421
433	7	445;31;
434	9	218;198;236
435	8	0
436	9	481;68;397
437	5	209;415;
438	6	435;247;
439	9	443;250;98
440	5	167;33;271
441	6	318;85;91
442	9	356;343;254
443	11	0
444	10	324;263;56
445	10	191;3;58
446	1	53;393;486
447	10	0
448	5	0
449	10	448;385;447
450	1	407;219;
451	2	431;4;207
452	1	88;148;70
453	3	0
454	1	440;20;379
455	6	354;150;
456	3	302;37;
457	11	292;424;
458	6	257;459;67
459	4	0
460	8	165;421;466
461	2	254;396;
462	4	314;135;463
463	7	0
464	11	0
465	5	0
466	6	432;82;346
467	3	265;447;463
468	11	447;355;346
469	3	0
470	8	463;427;
471	1	250;366;
472	10	69;362;
473	6	107;188;
474	10	293;199;411
475	2	0
476	4	0
477	1	0
478	11	150;50;
479	2	299;2;252
480	3	119;156;376
481	2	0
482	6	70;434;
483	1	297;167;
484	9	8;313;432
485	2	376;156;
486	9	0
487	8	266;228;123
488	4	0
489	4	0
490	1	0
491	9	229;124;
492	6	0
493	4	320;93;353
494	3	154;364;
495	11	0
496	1	0
497	5	0
498	10	1;333;
499	5	14;122;
500	11	90;24;457
