12000 6
1 2841 5
1 4509 6
1 2053 1
1 9360 1
2 1935 3
1 1080 1
1 5755 3
2 4869 1
1 2828 4
2 6890 5
2 6857 3
1 226 1
1 8033 2
2 4201 1
1 1992 4
1 2609 3
1 9342 1
1 5339 6
1 9964 4
2 861 3
1 8594 2
2 2568 1
2 2677 4
1 5189 4
1 583 5
1 2633 5
1 1391 5
1 9280 5
1 1437 6
1 6745 4
2 9480 6
1 977 3
2 8280 3
2 1758 3
1 1065 4
1 1954 5
2 2689 6
1 6515 6
1 8183 2
1 9951 2
2 3569 4
2 5317 4
1 1411 5
1 9557 5
2 1356 2
1 9020 2
2 8692 1
1 4571 2
2 6697 5
2 4129 2
2 4016 4
2 6958 3
2 5646 4
1 6871 2
1 2417 6
2 7783 2
1 3119 6
2 8222 1
2 1891 6
1 4449 1
1 6179 3
1 674 6
1 6706 6
1 6333 2
1 672 3
2 3600 6
1 8070 4
1 6620 2
1 9789 1
1 4272 2
1 5858 1
2 9033 4
2 131 2
2 5050 2
2 7936 4
2 727 1
2 2583 3
2 4654 1
1 4565 6
2 1700 4
1 78 4
1 9996 4
1 1778 3
2 711 2
1 2145 3
2 1918 3
1 8607 3
2 5604 4
2 1868 5
1 8208 2
1 5491 1
2 9662 2
1 3764 5
2 9415 3
2 9694 3
2 2802 4
2 6218 5
2 2171 2
2 3623 5
1 828 2
2 3592 2
2 6053 5
1 7561 3
1 180 1
1 7780 4
1 286 5
2 6463 4
1 5471 3
2 3185 5
1 5366 3
1 4697 4
1 7878 6
1 1728 6
1 2731 3
2 7091 5
1 4044 5
2 2310 1
2 1872 1
1 6251 5
2 3686 3
1 9572 5
2 7278 4
1 812 6
2 2339 5
2 8151 4
1 7063 3
2 3896 4
2 8503 6
1 9602 2
1 111 6
1 8236 5
2 1223 4
1 9987 4
1 5027 3
1 3316 2
1 2203 4
2 3259 6
2 8363 4
1 4845 3
2 1901 4
2 1313 4
2 8876 4
2 6909 3
2 2748 4
2 6328 2
1 10 3
1 8074 1
2 7501 4
2 1518 1
1 3540 1
2 7337 1
2 3214 2
1 7775 3
2 5936 3
2 601 6
1 500 4
1 8981 2
2 2756 1
1 8120 2
1 3895 3
2 2640 1
1 3451 4
2 6338 3
1 1809 3
2 5718 2
2 112 1
1 7494 4
2 6371 1
2 7496 3
1 2288 6
2 9111 5
2 2963 6
2 6388 5
2 311 4
1 9850 6
1 2167 1
2 640 6
1 8783 5
2 9978 4
2 6083 5
1 6073 4
1 4491 4
1 3199 2
1 3410 6
2 547 3
2 6292 2
2 7562 2
2 5595 5
2 6374 2
1 6812 1
1 9142 3
1 262 4
1 3527 3
1 6065 5
1 5137 5
2 9509 2
2 8742 5
2 9863 5
2 4863 5
1 9549 2
1 2350 5
2 1928 2
2 2218 2
2 1057 2
1 847 1
1 1431 1
1 908 4
1 5368 6
1 4959 2
1 5643 1
1 1165 4
1 3960 2
1 7498 1
2 7950 3
2 4962 1
2 801 6
2 2779 4
2 7196 1
1 1796 4
1 8024 4
2 7989 4
1 5633 3
2 6127 5
1 2684 6
1 1257 2
2 7759 5
1 4366 5
1 8258 6
2 9278 1
1 7703 4
2 4120 6
2 9547 2
2 8900 3
1 3275 1
2 1502 3
1 2073 1
2 385 3
1 9258 4
1 3517 2
2 8816 5
1 7645 6
2 2992 3
1 3458 1
1 3741 5
1 5787 5
1 9048 1
2 7389 3
1 4804 2
2 420 6
2 5808 6
1 4303 3
2 7028 1
1 9705 1
1 2576 4
1 9961 3
1 3373 6
2 2280 1
2 2281 4
1 5786 1
2 152 4
2 9350 4
1 2497 2
1 136 2
1 7079 5
2 3844 2
2 7162 4
2 7871 5
1 7067 1
1 5858 5
1 9972 1
1 8183 5
2 5718 5
1 4910 2
2 1942 4
2 9122 2
2 7742 2
1 8439 4
2 3711 4
1 185 2
1 9411 4
1 8519 2
2 4908 4
2 4744 3
2 2025 2
2 1818 4
1 84 3
2 1289 1
2 7338 2
1 4040 6
1 3746 3
1 3736 6
1 1396 4
1 2441 1
1 2295 4
2 7638 5
2 3495 4
2 5900 2
1 2686 3
1 2904 3
1 319 1
2 6216 1
2 6702 4
1 2176 4
2 7454 3
1 5223 5
2 7191 1
1 2918 4
1 2901 1
1 2852 6
2 5443 3
2 4678 5
1 3407 2
2 6826 3
2 9244 2
2 4187 4
1 1685 4
2 3639 1
2 6556 1
2 7331 1
2 4401 3
2 5195 3
1 7177 2
1 3073 3
2 1042 3
1 5428 5
2 7953 6
2 5588 1
2 5714 3
1 3149 5
2 74 5
2 8457 2
1 1710 3
1 9183 4
2 4685 5
1 415 4
1 6770 5
2 5180 2
2 3290 5
1 9110 6
2 847 5
2 7742 1
1 7709 4
1 3339 6
1 999 5
2 4057 4
2 2614 5
1 5766 2
1 1650 5
2 8388 2
2 6840 5
1 1386 4
2 2136 3
2 6706 5
1 1537 2
1 6041 6
1 7561 5
2 4806 5
2 6642 4
2 8035 3
2 9761 1
1 5313 1
2 6519 1
1 1007 4
1 2052 2
1 7642 1
2 5202 6
1 6536 2
1 2733 1
1 9534 5
1 6691 1
1 2987 4
1 501 2
1 870 5
2 9347 5
1 3339 2
1 910 1
1 5761 3
1 8769 1
1 6104 4
2 472 6
1 2092 6
2 7792 4
2 9518 1
1 4998 5
1 6491 4
2 1460 3
2 7786 6
2 8680 1
2 3503 6
1 6496 3
2 3609 3
1 5278 5
1 9564 3
1 9654 6
1 5376 6
1 6803 6
1 3512 5
2 5585 2
2 1868 3
1 6937 4
1 8662 3
2 342 2
1 8484 4
2 6957 1
2 6458 4
2 6045 6
2 7140 6
1 4061 1
2 6885 5
2 7612 5
1 1336 6
1 2696 4
2 8387 3
1 9490 3
1 6135 4
2 4289 1
1 8417 5
1 8996 2
2 8288 5
2 3812 2
2 2844 1
1 8778 3
1 1417 2
1 9544 3
1 6428 6
2 4643 6
2 8027 3
2 9041 6
2 642 6
2 5709 1
2 4670 5
2 7190 5
1 340 5
2 7353 2
2 6996 3
1 9567 6
2 343 1
1 664 1
2 4280 2
1 6850 5
1 3189 2
2 8975 1
1 2882 1
1 1423 1
2 7611 2
2 8740 4
1 8963 2
2 9705 2
1 7206 2
2 7948 5
2 6665 6
1 86 5
1 932 1
1 9222 6
1 3006 3
1 2314 6
2 12 6
2 4620 1
2 3950 4
1 2531 2
2 9521 1
1 8654 6
1 354 4
1 7705 3
2 7962 3
2 2720 1
1 3757 1
2 7300 4
1 8569 6
1 3022 4
2 8304 2
1 4253 3
1 5731 6
1 8996 5
1 6035 4
2 9274 6
1 7641 2
2 4399 6
2 2076 4
1 6935 1
1 5576 3
1 1875 2
1 4961 6
1 5403 4
1 4893 2
1 7788 4
1 5117 2
1 1823 1
2 6142 5
2 4521 1
2 1871 4
1 1362 3
2 3777 1
1 2128 2
1 4800 6
2 4386 2
2 1785 2
2 918 2
1 1752 2
2 9760 4
2 7834 1
1 4485 1
1 432 5
2 7440 4
2 1309 6
2 5942 3
2 4468 6
2 5891 4
2 4332 3
1 6173 4
2 7635 1
2 193 3
2 810 3
1 1447 2
1 2007 3
2 4039 4
2 6187 4
2 2847 5
1 6640 5
2 1232 4
2 9164 2
1 8398 3
2 8657 1
2 4414 3
1 3914 5
2 408 2
1 4341 3
1 5110 4
1 245 6
1 1724 6
1 434 2
2 9498 6
1 5010 6
2 7375 3
1 9296 5
2 2590 6
1 469 6
2 2534 4
1 178 1
1 9980 1
1 2017 3
1 1390 5
2 1009 1
2 156 4
2 9708 4
1 1010 4
1 4962 5
1 289 1
2 8271 6
1 2343 4
2 7152 2
2 7392 2
1 4519 5
2 7757 6
2 7638 3
1 2320 1
2 4513 1
2 5330 1
2 2582 2
1 3510 6
1 3351 3
2 9733 6
1 2129 3
2 1600 1
2 7455 5
2 6377 3
1 1616 6
2 8412 1
2 580 3
1 8124 6
1 5062 2
2 3681 1
1 7367 3
2 1297 3
2 5178 4
1 1451 6
1 4347 2
2 9335 1
1 5600 6
2 9124 4
1 3572 4
1 439 1
2 3990 5
2 3665 5
1 2497 3
2 3757 6
1 5535 4
2 8984 2
1 7669 3
1 8784 1
2 7187 3
2 4822 3
2 2854 6
2 3191 5
2 9569 3
2 2204 5
1 6893 3
1 531 5
1 522 4
2 100 4
1 3290 1
2 5429 5
2 9354 5
2 692 2
1 8501 1
2 942 2
1 6515 3
2 4086 4
1 4075 2
2 2940 5
1 9742 4
1 7966 2
2 7937 2
1 6163 5
1 1783 1
1 9256 1
1 8951 3
1 7277 4
2 2104 2
2 1993 5
2 8075 5
2 1059 6
2 5915 4
2 8715 1
1 7607 6
1 9859 4
2 9739 3
1 1761 3
1 8863 3
1 8601 5
2 8645 2
2 6553 1
2 3791 4
1 3229 3
2 3436 6
1 4864 5
2 8400 3
2 6878 6
2 8520 6
1 4970 6
1 5919 1
2 2893 1
1 3318 6
2 847 3
2 7873 3
2 9904 6
2 5031 2
2 6374 6
1 4074 5
2 2345 6
2 6615 5
2 1385 6
1 8342 3
1 795 3
1 8365 3
2 7328 1
2 7734 6
1 9284 1
2 6992 3
2 1344 2
1 3248 6
2 9713 4
1 6433 1
2 2108 2
2 9 4
2 3471 4
1 4483 2
1 9794 1
1 1269 4
2 242 5
1 7776 1
1 4595 2
1 2342 6
2 6432 6
2 6030 4
1 4136 2
1 4403 1
1 5632 2
1 2487 1
1 8498 4
2 526 5
1 4964 6
2 9108 4
2 9140 6
1 9244 5
2 2017 5
2 2713 6
1 5198 1
1 7353 2
1 7853 3
1 7519 4
1 9679 1
2 1125 5
2 68 6
2 5376 1
1 615 6
1 6104 5
1 1090 6
1 818 4
1 8293 6
2 9382 1
2 6274 5
1 2242 6
2 6266 3
2 1929 4
2 4493 3
1 2727 6
2 1333 2
2 7909 2
2 1364 4
2 2497 4
2 5470 2
1 4336 4
2 5239 2
1 8878 2
2 7613 4
2 9261 6
2 7410 4
1 7459 1
1 194 2
2 8072 3
2 1079 4
2 7883 6
1 9155 6
2 9598 5
2 2668 2
2 3520 5
2 3786 5
2 41 5
2 7419 5
2 6322 5
1 3722 2
2 4402 5
1 9604 6
2 3116 1
1 798 4
1 7680 5
1 6232 3
1 8659 6
2 7836 4
1 272 5
2 5047 4
2 520 1
2 9479 6
2 6267 1
2 9057 4
1 8449 3
2 4222 4
2 5100 4
1 2215 1
2 5376 2
2 1813 6
1 7064 6
2 6864 2
1 7362 2
2 4032 2
1 5140 2
1 5977 1
2 4496 3
1 2042 2
2 9706 6
1 1442 4
1 8564 5
1 6501 6
2 6894 4
1 9558 1
1 5933 4
1 7735 1
2 4334 5
2 1341 4
2 4993 2
2 3396 2
1 8808 5
2 6005 4
1 718 3
2 8204 6
1 4925 6
2 1137 5
2 7713 2
1 129 2
1 6943 1
1 336 6
2 7085 3
2 4275 3
2 4682 4
1 8187 2
2 4441 6
2 9657 2
1 6737 4
1 344 2
1 6183 4
1 3639 3
2 5126 6
1 5156 4
2 3842 2
2 299 6
2 4350 6
2 9247 4
2 1654 1
2 8589 2
2 5298 2
1 139 2
1 1055 4
2 1994 4
1 3859 6
1 3358 1
1 3528 1
1 8520 5
1 9189 1
2 151 2
1 1554 5
2 2596 2
1 8213 3
2 4330 1
2 2704 1
2 9590 5
1 4432 3
2 4143 6
1 1104 1
2 699 1
2 5558 4
2 8605 1
1 6781 1
2 3540 5
2 606 1
2 7740 4
1 4981 2
2 9536 1
1 8157 4
1 886 5
1 6927 2
2 4579 2
1 1441 2
2 3446 6
1 1427 3
2 3585 5
2 9703 1
2 7603 6
2 8805 2
2 7231 3
2 7567 6
1 2136 2
2 1981 3
2 2832 5
2 7764 3
1 3540 6
1 9353 1
1 5861 4
1 538 4
2 2399 4
1 2234 6
1 1084 2
2 1566 4
1 3173 6
2 6308 4
1 5061 3
1 5345 4
1 8308 3
2 9476 1
1 4382 1
2 7597 6
1 3456 3
1 7545 1
2 3824 4
1 2351 5
1 7037 3
1 8856 6
2 5271 3
1 917 4
2 3835 6
1 4491 5
2 3590 1
2 4206 6
1 6486 1
2 9699 5
2 1388 5
2 6118 1
2 7104 6
2 6232 1
1 7006 4
2 7701 5
1 9144 6
1 5061 2
1 3515 1
2 8769 2
2 8036 4
2 7563 5
1 9473 1
1 2296 1
2 1380 1
1 8114 2
2 2894 2
1 8227 4
1 5263 6
2 71 2
1 3919 4
2 746 2
1 2895 3
2 1934 5
1 823 3
2 4844 3
1 1778 6
1 2468 6
2 2924 2
1 4173 4
2 6098 5
1 8754 5
1 6899 6
2 8068 6
1 7640 1
2 6372 4
1 4999 6
1 5186 1
1 8372 2
2 3742 6
1 9207 1
1 4625 4
1 6357 4
1 2130 4
2 6235 6
2 6265 5
2 9174 3
2 4539 5
2 1738 2
1 760 6
1 8429 5
2 1040 2
2 4621 3
2 9612 3
1 8482 6
2 9470 5
2 6611 5
1 2654 2
2 8709 5
2 7472 1
1 400 5
1 5089 5
1 4277 5
2 5668 3
1 4488 2
1 2020 5
1 517 1
2 5793 5
2 6320 1
1 5560 2
1 1457 5
1 4908 3
1 8154 5
1 2578 3
2 4772 2
1 3460 2
2 9346 3
2 9042 2
1 7531 5
1 6104 3
1 9020 6
2 3344 3
1 872 5
2 7344 3
2 4819 6
1 109 4
2 3503 2
2 4479 6
1 7245 2
1 3193 2
2 4649 2
2 37 1
2 969 6
2 4089 3
2 3188 2
2 4900 5
1 7170 1
2 4806 1
2 7831 3
2 2719 1
2 9912 1
2 3788 5
2 7067 5
2 3049 5
2 1303 2
2 2883 5
2 7861 3
2 9962 4
2 8279 6
1 9935 2
1 2745 3
1 3719 2
2 4966 2
1 4493 4
1 613 5
2 8487 4
2 1627 4
1 7310 3
1 2593 4
2 6849 3
2 1311 3
2 8776 1
1 9014 3
2 7880 1
2 8910 3
1 3121 6
1 6059 5
2 4795 1
1 5639 1
1 7173 6
2 7981 2
1 6761 6
2 5632 6
2 2057 3
2 9913 3
1 1510 6
1 3756 1
1 1203 1
2 514 1
2 3888 1
2 1463 1
2 3509 3
2 2773 3
1 3376 6
1 4676 6
2 4454 5
2 8894 3
1 2015 3
1 9172 1
1 2612 1
1 7884 5
1 6566 6
1 3212 1
1 8296 3
2 174 6
2 351 5
2 6147 2
2 5579 3
1 6170 6
2 6573 2
2 9454 2
2 2480 6
1 581 1
1 35 3
2 7397 2
2 2500 6
2 8138 2
2 4734 5
2 356 3
2 2300 1
1 1520 6
2 3604 4
2 7677 3
2 2746 1
2 1371 1
1 2548 2
2 766 2
2 4095 4
1 8446 6
2 1945 4
1 9250 5
2 9603 2
1 853 2
1 181 1
1 1731 2
2 5824 3
1 619 5
2 5118 4
2 8155 3
1 2525 6
1 5493 4
1 8844 3
1 9972 6
2 1301 1
2 8677 4
2 8548 5
2 6880 4
1 3746 1
2 6421 6
1 3972 3
1 474 2
2 6005 3
2 8396 6
1 1620 3
1 7400 2
2 4949 3
2 2229 6
1 7319 2
2 1712 2
1 6730 4
2 1455 1
2 1712 4
1 8786 3
2 9345 5
2 6977 2
1 2913 2
1 5794 5
2 1361 4
1 4443 5
2 6952 6
2 6471 1
2 5471 5
2 3595 3
2 8333 2
2 9426 3
1 1673 3
2 7839 4
1 8771 2
1 7324 3
2 7129 2
1 6974 2
1 1954 1
2 9133 4
1 394 4
1 7202 3
2 7571 3
2 2544 5
1 477 4
1 5970 3
1 5076 3
1 2767 5
2 9193 3
2 5854 3
1 1896 6
2 2848 1
2 6532 5
1 2493 1
1 5796 2
2 3166 4
2 5326 5
1 9366 5
1 6560 2
1 5946 6
1 6772 3
2 9932 6
2 985 2
2 9433 2
1 9556 6
1 7738 4
2 3033 1
1 3916 3
1 1714 3
1 2581 5
1 2632 5
2 6185 4
2 9814 2
1 1595 2
2 1517 2
1 8515 4
1 1907 6
2 1745 4
2 2405 2
1 5483 5
1 5478 3
1 1676 2
1 9999 5
2 4750 5
1 3375 6
2 2726 6
2 5692 2
1 9098 6
2 8703 2
1 5583 5
1 7605 3
2 569 2
2 4120 2
2 1609 1
2 857 3
2 6492 2
1 9716 1
2 7146 2
1 7118 1
2 9290 2
1 447 4
1 1884 2
1 1550 5
1 5863 3
2 2026 5
2 531 2
2 2679 2
1 6491 6
1 2155 5
1 1748 4
2 7538 5
1 7636 6
2 3014 5
2 1850 5
2 1733 4
2 1950 2
1 8798 2
2 4006 4
2 4037 3
2 4339 1
2 9855 1
2 629 6
2 6390 5
1 7124 4
1 6157 6
1 7940 4
2 7275 6
1 6092 5
2 7218 3
2 9909 1
2 1540 4
2 8840 3
1 9597 5
1 3121 1
1 5495 2
1 6373 3
1 5226 3
2 3678 2
1 7464 2
1 7521 2
2 1531 6
1 9506 5
2 1571 1
2 1929 6
2 3393 4
1 1981 6
1 8865 1
2 2579 3
2 4049 6
1 8509 6
1 1356 5
1 9967 6
1 7785 2
2 2357 5
2 6472 2
2 3738 1
1 2632 2
2 8966 6
1 5438 2
2 9278 3
1 7727 5
2 4102 1
1 5915 6
2 8600 5
1 7936 5
1 1649 5
1 902 4
1 6118 1
1 429 4
2 9342 5
1 6525 5
2 2311 1
2 6298 3
1 824 6
1 3777 2
1 9732 2
2 8780 6
1 9016 3
2 1465 5
2 7602 6
1 6432 4
1 9928 2
1 1330 6
1 6053 2
1 3673 3
2 7336 6
1 6711 6
1 3196 4
1 2797 5
1 7652 2
2 5528 5
2 3328 2
1 6987 2
1 1259 2
1 9292 2
2 9836 1
1 5348 4
2 1367 4
1 3485 4
1 1353 4
1 6287 4
1 7506 1
2 1053 5
1 2743 2
2 5357 3
2 1190 5
1 3009 3
2 6406 5
2 1144 1
2 4760 2
1 2225 4
2 42 6
1 6279 6
1 5386 6
1 2199 1
1 4630 6
2 3780 5
2 6020 6
2 2542 3
2 2499 4
1 2872 1
1 6845 5
1 6314 6
1 7536 4
1 7922 6
1 7756 5
1 9041 2
1 9493 2
2 4533 6
2 1553 1
1 8181 6
1 6226 6
2 5446 5
1 4567 1
1 5776 5
1 5911 2
2 5432 4
2 3725 4
1 9638 5
1 3436 4
2 1976 6
2 1614 2
1 2596 5
2 8260 6
1 2050 5
1 8324 4
2 3630 5
2 9229 3
1 853 6
1 3492 3
